timestamp,title,description,remediation
2008-11-09 21:00:00,Auto-detected HDFS Incident,2008-11-09 21:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-09 22:00:00,Auto-detected HDFS Incident,2008-11-09 22:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-09 23:00:00,Auto-detected HDFS Incident,2008-11-09 23:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 02:00:00,Auto-detected HDFS Incident,2008-11-10 02:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 03:00:00,Auto-detected HDFS Incident,2008-11-10 03:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 07:00:00,Auto-detected HDFS Incident,2008-11-10 07:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 08:00:00,Auto-detected HDFS Incident,2008-11-10 08:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 09:00:00,Auto-detected HDFS Incident,2008-11-10 09:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 12:00:00,Auto-detected HDFS Incident,2008-11-10 12:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 13:00:00,Auto-detected HDFS Incident,2008-11-10 13:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 16:00:00,Auto-detected HDFS Incident,2008-11-10 16:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 17:00:00,Auto-detected HDFS Incident,2008-11-10 17:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 19:00:00,Auto-detected HDFS Incident,2008-11-10 19:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-10 23:00:00,Auto-detected HDFS Incident,2008-11-10 23:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-11 00:00:00,Auto-detected HDFS Incident,2008-11-11 00:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
2008-11-11 01:00:00,Auto-detected HDFS Incident,2008-11-11 01:00 — HDFS error detected in logs.,"Investigate HDFS NameNode, check block reports, restart affected DataNodes."
